Date,y1,y10,province
2015/11/1,2.251023378,3.677857315,Anhui
2015/12/1,2.316628833,3.843160042,Anhui
2016/1/1,2.306723585,3.81897856,Anhui
2016/2/1,2.280115514,3.79296105,Anhui
2016/3/1,2.403871454,3.740400016,Anhui
2016/4/1,2.423607803,3.603802847,Anhui
2016/5/1,2.334027983,3.589425258,Anhui
2016/6/1,3.351848305,3.632988622,Anhui
2016/7/1,3.045354616,3.612744266,Anhui
2016/8/1,2.410193943,3.510865159,Anhui
2016/9/1,2.637546225,3.530699884,Anhui
2016/10/1,3.31828389,3.507817852,Anhui
2016/11/1,3.063632451,3.494835733,Anhui
2016/12/1,3.664125807,3.523364879,Anhui
2017/1/1,2.795789906,3.599072852,Anhui
2017/2/1,2.810348302,3.607467291,Anhui
2017/3/1,2.853771437,3.569424251,Anhui
2017/4/1,3.056803581,3.490097292,Anhui
2017/5/1,3.285883296,3.40516029,Anhui
2017/6/1,3.320231264,3.44408382,Anhui
2017/7/1,3.297210099,3.583594151,Anhui
2017/8/1,3.338791795,3.609050601,Anhui
2017/9/1,3.428412583,3.620939909,Anhui
2017/10/1,3.512405694,3.587030947,Anhui
2017/11/1,3.626457093,3.748537408,Anhui
2017/12/1,3.866226225,3.845110887,Anhui
2018/1/1,3.626150478,3.830095899,Anhui
2018/2/1,3.563530172,3.804087583,Anhui
2018/3/1,3.71778019,3.776806343,Anhui
2018/4/1,2.719962631,3.534638839,Anhui
2018/5/1,2.657657672,3.516269323,Anhui
2018/6/1,2.708673796,3.625260951,Anhui
2018/7/1,2.303777984,3.610379668,Anhui
2018/8/1,2.442950748,3.621120479,Anhui
2018/9/1,2.613426298,3.641906954,Anhui
2018/10/1,2.542729107,3.817190028,Anhui
2018/11/1,2.401947115,3.889348736,Anhui
2018/12/1,2.57673863,3.894481589,Anhui
2019/1/1,2.714133764,3.843199927,Anhui
2019/2/1,2.747121035,3.798216299,Anhui
2019/3/1,2.721715557,3.803661501,Anhui
2019/4/1,2.502002245,3.648285149,Anhui
2019/5/1,2.928768131,3.441716684,Anhui
2019/6/1,2.956904418,3.674601397,Anhui
2019/7/1,2.95969923,3.721971479,Anhui
2019/8/1,2.953141364,3.613382112,Anhui
2019/9/1,2.959955027,3.546701375,Anhui
2019/10/1,2.966034213,3.576951304,Anhui
2019/11/1,3.090677412,3.556583535,Anhui
2019/12/1,3.101447485,3.532003316,Anhui
2020/1/1,3.008263452,3.469716669,Anhui
2020/2/1,2.926812778,3.398747735,Anhui
2020/3/1,2.862907988,3.337687179,Anhui
2020/4/1,2.803449464,3.223911766,Anhui
2020/5/1,2.799570367,3.148434579,Anhui
2020/6/1,2.829674856,3.160839044,Anhui
2020/7/1,2.897935792,3.208755814,Anhui
2020/8/1,2.905233515,3.290113199,Anhui
2020/9/1,3.051742926,3.358401749,Anhui
2020/10/1,3.012576762,3.46265117,Anhui
2020/11/1,2.945512299,3.501104532,Anhui
2020/12/1,2.973460918,3.523164008,Anhui
2021/1/1,3.097970637,3.472835494,Anhui
2021/2/1,3.136130066,3.427507595,Anhui
2021/3/1,3.12676347,3.44706585,Anhui
2021/4/1,3.302192644,3.44684372,Anhui
2021/5/1,3.280180981,3.414770721,Anhui
2021/6/1,3.234029872,3.488125842,Anhui
2021/7/1,3.256238338,3.533873077,Anhui
2021/8/1,3.227449009,3.477593234,Anhui
2021/9/1,3.091792971,3.425294712,Anhui
2021/10/1,3.031696057,3.405773146,Anhui
2021/11/1,2.997685268,3.416640398,Anhui
2021/12/1,3.007760427,3.385119157,Anhui
2022/1/1,2.968408837,3.301710293,Anhui
2022/2/1,2.818529255,3.284636921,Anhui
2022/3/1,2.699936392,3.285449582,Anhui
2022/4/1,2.530850562,3.244268042,Anhui
2022/5/1,2.378537444,3.176361184,Anhui
2022/6/1,2.328913816,3.154492764,Anhui
2022/7/1,2.299120785,3.165944313,Anhui
2022/8/1,2.227508453,3.166065902,Anhui
2022/9/1,2.187037114,3.093680687,Anhui
2022/10/1,2.169668464,3.106385964,Anhui
2022/11/1,2.132978748,3.103447519,Anhui
2022/12/1,2.194427384,3.114459273,Anhui
2015/11/1,2.327574655,3.661854383,Beijing
2015/12/1,2.30337588,3.695925474,Beijing
2016/1/1,2.346912296,3.701531156,Beijing
2016/2/1,2.358166894,3.685458117,Beijing
2016/3/1,2.4039507,3.660328899,Beijing
2016/4/1,2.404789166,3.67628065,Beijing
2016/5/1,2.402671138,3.617888347,Beijing
2016/6/1,2.976644063,3.573016978,Beijing
2016/7/1,3.217556629,3.631578936,Beijing
2016/8/1,3.287345078,3.537381959,Beijing
2016/9/1,3.382276673,3.46823008,Beijing
2016/10/1,3.524689136,3.466698833,Beijing
2016/11/1,3.258434053,3.444279707,Beijing
2016/12/1,3.930322302,3.366571191,Beijing
2017/1/1,3.994899376,3.393550787,Beijing
2017/2/1,3.560481462,3.435404972,Beijing
2017/3/1,3.207264487,3.432223284,Beijing
2017/4/1,3.344161466,3.515987746,Beijing
2017/5/1,3.145693446,3.472766018,Beijing
2017/6/1,3.219955886,3.51707067,Beijing
2017/7/1,3.245915463,3.523460025,Beijing
2017/8/1,3.488800768,3.549071895,Beijing
2017/9/1,3.412345715,3.578300236,Beijing
2017/10/1,3.291606541,3.562583002,Beijing
2017/11/1,3.147069147,3.592618419,Beijing
2017/12/1,2.692957786,3.716521025,Beijing
2018/1/1,2.834804668,3.765994288,Beijing
2018/2/1,3.241491406,3.598779031,Beijing
2018/3/1,3.362757563,3.573218599,Beijing
2018/4/1,3.435282024,3.595113128,Beijing
2018/5/1,3.476331483,3.577491959,Beijing
2018/6/1,3.629913327,3.552448238,Beijing
2018/7/1,3.617753754,3.577253387,Beijing
2018/8/1,3.381729523,3.61201073,Beijing
2018/9/1,2.990750085,3.778382027,Beijing
2018/10/1,2.968000298,3.697507742,Beijing
2018/11/1,3.032100551,3.769358748,Beijing
2018/12/1,2.809435636,4.005930286,Beijing
2019/1/1,3.020387332,3.921566839,Beijing
2019/2/1,3.196463393,3.787256118,Beijing
2019/3/1,3.472858695,3.747251462,Beijing
2019/4/1,3.071216826,3.79993866,Beijing
2019/5/1,2.994435758,3.665786683,Beijing
2019/6/1,3.050431314,3.584465519,Beijing
2019/7/1,3.103090929,3.513975777,Beijing
2019/8/1,3.03914687,3.564341289,Beijing
2019/9/1,2.971911532,3.618061675,Beijing
2019/10/1,2.900562212,3.615328873,Beijing
2019/11/1,2.867022686,3.595002919,Beijing
2019/12/1,2.808418197,3.552464758,Beijing
2020/1/1,2.759757971,3.545646891,Beijing
2020/2/1,2.650206035,3.479623455,Beijing
2020/3/1,2.575199555,3.373577579,Beijing
2020/4/1,2.457786771,3.375568131,Beijing
2020/5/1,2.405570061,3.287805311,Beijing
2020/6/1,2.424201249,3.294909406,Beijing
2020/7/1,2.42767941,3.312728528,Beijing
2020/8/1,2.45641652,3.348988462,Beijing
2020/9/1,2.583370358,3.408721689,Beijing
2020/10/1,2.766213459,3.54728219,Beijing
2020/11/1,2.846185409,3.593328228,Beijing
2020/12/1,2.905648228,3.581542534,Beijing
2021/1/1,2.876263391,3.595076687,Beijing
2021/2/1,2.814028767,3.581591202,Beijing
2021/3/1,2.797833395,3.593595856,Beijing
2021/4/1,2.782183812,3.574513189,Beijing
2021/5/1,2.768095289,3.588832996,Beijing
2021/6/1,2.740414784,3.567720638,Beijing
2021/7/1,2.722879613,3.553159716,Beijing
2021/8/1,2.650000261,3.488941242,Beijing
2021/9/1,2.458818802,3.370730214,Beijing
2021/10/1,2.422162978,3.356411029,Beijing
2021/11/1,2.547040084,3.378793519,Beijing
2021/12/1,2.484965622,3.344600196,Beijing
2022/1/1,2.358488273,3.297597958,Beijing
2022/2/1,2.237246431,3.281970466,Beijing
2022/3/1,2.143257345,3.277673047,Beijing
2022/4/1,2.303540519,3.304038862,Beijing
2022/5/1,2.162787703,3.221060507,Beijing
2022/6/1,2.15061145,3.207687704,Beijing
2022/7/1,2.17065772,3.165637725,Beijing
2022/8/1,2.140162773,3.171619437,Beijing
2022/9/1,2.088904938,3.15947836,Beijing
2022/10/1,2.056967699,3.148574576,Beijing
2022/11/1,2.036963054,3.147400462,Beijing
2022/12/1,2.117064367,3.110652552,Beijing
2015/9/1,2.187954563,3.625761236,Fujian
2015/10/1,2.213966131,3.640578376,Fujian
2015/11/1,2.301599049,3.528429646,Fujian
2015/12/1,2.41010215,3.573592555,Fujian
2016/1/1,2.412183829,3.592311759,Fujian
2016/2/1,2.393978284,3.622218792,Fujian
2016/3/1,2.390188249,3.626253592,Fujian
2016/4/1,2.350736507,3.623633501,Fujian
2016/5/1,2.292003683,3.599378093,Fujian
2016/6/1,2.347512481,3.502678963,Fujian
2016/7/1,2.32785403,3.471525509,Fujian
2016/8/1,2.316673457,3.477459213,Fujian
2016/9/1,2.296725633,3.429373179,Fujian
2016/10/1,2.355905987,3.401776316,Fujian
2016/11/1,2.357878532,3.384139984,Fujian
2016/12/1,2.39913467,3.333074625,Fujian
2017/1/1,3.082700869,3.381815449,Fujian
2017/2/1,3.116157099,3.473786275,Fujian
2017/3/1,3.182569809,3.490257307,Fujian
2017/4/1,3.138838639,3.514005382,Fujian
2017/5/1,3.057619868,3.34688546,Fujian
2017/6/1,3.324389932,3.519709675,Fujian
2017/7/1,3.359205128,3.665307036,Fujian
2017/8/1,3.683203238,3.739265164,Fujian
2017/9/1,3.679348761,3.758420578,Fujian
2017/10/1,3.560331133,3.814280228,Fujian
2017/11/1,3.354381022,3.859082342,Fujian
